Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"cats food","75","75","210","83.78","6.71","http://www.whiskas.com/","0.00","0.00","0.93","211000000","0.66,0.66,0.66,0.66,0.44,0.66,0.53,0.81,1.00,0.81,0.81,0.81","1468941256"
"vitamin c and cats","77","0","10","67.60","0.00","http://www.whiskas.com/CatsCorner/Article/Your-Cats-Diet-Vitamins","0.00","0.00","0.32","1280000","0.33,0.33,0.67,0.67,0.33,0.67,0.33,0.33,0.33,0.33,1.00,0.33","1467856020"
"how to leash train a cat","85","90","390","79.82","0.00","http://www.whiskas.com/CatsCorner/Article/Training-Your-Cat","0.00","0.00","0.04","475000","0.67,0.67,0.81,1.00,1.00,1.00,0.81,0.67,0.67,0.67,0.67,0.67","1468507164"
"how to help cats in heat","42","39","260","77.55","0.32","http://www.whiskas.com/CatsCorner/Article/Cats-In-Heat","0.00","0.00","0.11","5250000","0.54,0.44,0.36,0.24,0.29,0.24,0.24,0.24,0.36,0.81,1.00,1.00","1468854649"
"if your cat has fleas can you get them","39","50","10","79.68","0.00","http://www.whiskas.com/CatsCorner/Article/Making-Fleas-Flee","0.00","0.00","0.02","9700000","0.50,0.50,0.50,0.50,1.00,1.00,0.50,1.00,0.50,0.50,0.50,0.50","1468498041"
"dry cat food container","90","89","10","81.78","0.82","http://www.whiskas.com/Home/Faqs","0.00","0.00","1.00","1980000","0.50,0.50,0.50,1.00,1.00,1.00,0.50,0.50,1.00,1.00,1.00,1.00","1466824896"
"minerals diet","93","85","20","79.71","0.00","http://www.whiskas.com/CatsCorner/Article/Your-Cats-Diet-Minerals","0.00","0.00","0.01","30400000","0.67,0.67,0.33,0.67,0.33,0.33,1.00,0.67,0.67,0.67,0.67,0.67","1465591738"
"how do i know if my kitten has fleas","61","0","20","78.06","0.00","http://www.whiskas.com/CatsCorner/Article/Making-Fleas-Flee","0.00","0.00","0.09","5750000","0.25,0.50,0.50,1.00,0.75,0.50,0.50,0.75,0.50,0.50,0.25,0.25","1470747967"
"whiskers cat milk","22","12","10","70.45","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kittens-and-Mom","0.00","0.00","0.61","73000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1467928107"
"whiskers cat milk","19","11","10","70.45","0.00","http://www.whiskas.com/Home/Faqs","0.00","0.00","0.61","73000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1467928107"
"roast chicken juices","37","0","10","83.14","0.00","http://www.whiskas.com/Products/Product/roasted-chicken-meaty-juices","0.00","0.00","0.01","1110000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00","1467048019"
"clipping kittens claws","93","0","40","0.00","0.00","http://www.whiskas.com/CatsCorner/Article/On-Claws-and-Paws","0.00","0.00","0.13","35000","0.07,0.07,0.14,0.36,1.00,0.64,0.64,0.21,0.07,0.14,0.14,0.07","1469891052"
"4 month old cat","65","81","320","84.40","0.00","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.02","55100000","0.35,0.29,0.35,0.54,0.81,1.00,0.81,0.67,0.67,0.81,0.67,0.54","1468607413"
"diet minerals","83","73","10","81.58","0.00","http://www.whiskas.com/CatsCorner/Article/Your-Cats-Diet-Minerals","0.00","0.00","0.00","32800000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1466621734"
"training your cat to use the toilet","94","0","70","74.81","0.46","http://www.whiskas.com/CatsCorner/Article/House-Training-Your-Cat","0.00","0.00","0.90","4890000","1.00,0.78,0.78,1.00,1.00,0.56,0.78,0.78,0.56,0.56,0.33,0.56","1469531417"
"good names for cats","76","0","880","76.43","0.39","http://www.whiskas.com/CatsCorner/Article/Choosing-Your-Cats-Name","0.00","0.00","0.22","7360000","0.59,0.72,0.88,0.88,1.00,1.00,0.88,0.88,0.88,0.88,0.88,0.59","1469563700"
"food cats","63","61","40","83.92","0.00","http://www.whiskas.com/","0.00","0.00","0.93","197000000","0.80,1.00,0.80,0.60,0.60,0.80,0.80,0.80,0.80,1.00,0.80,1.00","1469880976"
"can cats purr in their sleep","45","0","10","0.00","0.00","http://www.whiskas.com/CatsCorner/Article/Sleep","0.00","0.00","0.36","950000","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.43,0.43,0.14","1465952367"
"cats and pregnancy risks","69","51","40","87.66","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.04","607000","0.57,0.57,1.00,0.71,0.57,1.00,0.71,0.57,0.57,0.57,0.43,0.57","1469873256"
"knowing when your pregnant","73","84","30","89.69","0.55","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.34","12400000","0.60,0.60,0.40,0.60,1.00,0.80,0.80,0.60,0.60,0.20,0.40,0.60","1469934434"
"fish cat food","78","0","40","77.43","7.41","http://www.whiskas.com/Products/Product/sardine-mackerel","0.00","0.00","1.00","6760000","0.29,0.29,0.71,0.43,0.71,0.57,0.57,0.43,1.00,1.00,1.00,0.71","1469759066"
"what to feed a kitten at 6 weeks","90","100","20","71.26","0.00","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.60","614000","0.25,0.25,1.00,1.00,0.75,0.75,0.50,0.25,0.50,0.25,0.25,0.25","1466969051"
"what can cats sense","46","51","30","80.16","0.00","http://www.whiskas.com/CatsCorner/Article/Your-Cats-Sense-of-Smell","0.00","0.00","0.01","8310000","0.50,0.25,0.75,1.00,1.00,0.75,0.75,0.75,0.75,1.00,0.75,0.50","1470325811"
"calculus for cats","72","78","30","69.88","0.00","http://www.whiskas.com/CatsCorner/Article/Urinary-Tract-Diseases-FLUTD","0.00","0.00","0.27","188000","0.40,0.40,0.40,0.20,0.40,0.60,1.00,0.60,0.60,0.60,0.40,0.40","1470329382"
"cat food wholesale","96","0","50","70.55","1.73","http://www.whiskas.com/","0.00","0.00","0.90","5490000","0.57,0.57,1.00,0.57,0.71,0.57,0.57,0.57,0.57,0.57,0.71,0.71","1469669130"
"how long can a cat go without eating","91","82","1300","77.87","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-After-Illness-or-Surgery","0.00","0.00","0.01","3610000","0.81,0.62,0.81,0.81,1.00,0.81,0.62,0.24,0.62,1.00,1.00,0.55","1469473981"
"can pregnant women be around cats","99","0","140","88.93","18.36","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.01","3530000","0.82,0.65,0.82,1.00,0.82,0.82,0.82,0.82,0.82,1.00,0.82,0.82","1467665936"
"whiskas kitten milk","7","6","20","66.37","1.19","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kittens-and-Mom","0.00","0.00","0.94","80000","0.33,0.33,0.33,0.33,0.67,1.00,1.00,0.67,0.67,0.33,0.33,0.33","1469039480"
"cats diarrhea and vomiting","65","87","20","74.91","0.44","http://www.whiskas.com/CatsCorner/Article/Caring-for-Acute-Diarrhea","0.00","0.00","0.44","487000","0.20,0.20,0.20,0.40,1.00,0.80,0.40,0.40,0.20,0.40,0.20,0.20","1470648626"
"what causes diarrhea in cats","98","96","260","80.60","2.34","http://www.whiskas.com/CatsCorner/Article/Caring-for-Acute-Diarrhea","0.00","0.00","0.74","524000","0.53,0.66,0.81,0.81,0.81,0.81,1.00,0.81,1.00,1.00,1.00,0.66","1468610497"
"cat ancestors","65","0","170","86.27","0.00","http://www.whiskas.com/CatsCorner/Article/The-Domestication-of-Cats","0.00","0.00","0.04","911000","0.67,1.00,0.67,0.67,0.81,0.81,0.67,0.81,0.81,0.81,1.00,0.81","1467602877"
"do cats understand humans","62","63","170","85.72","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.00","3630000","0.18,0.44,1.00,0.82,0.28,0.13,0.28,0.82,0.18,0.18,0.23,0.54","1467760582"
"urinary tract infection in cats food","41","44","20","0.00","2.95","http://www.whiskas.com/CatsCorner/Article/Urinary-Tract-Diseases-FLUTD","0.00","0.00","0.95","536000","0.33,0.67,0.33,0.33,0.33,0.33,0.67,1.00,0.67,0.33,1.00,0.33","1470551496"
"bringing home a new kitten","48","47","210","82.16","1.38","http://www.whiskas.com/CatsCorner/Article/bringing-your-new-kitten-home","0.00","0.00","0.07","1650000","0.28,0.44,0.82,1.00,0.67,0.67,0.67,0.67,0.67,0.44,0.36,0.23","1469449610"
"best cat food for bladder crystals","88","0","10","0.00","0.17","http://www.whiskas.com/CatsCorner/Article/Caring-for-Struvite-Stones","0.00","0.00","0.95","85000","0.67,1.00,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.67,0.33,0.33","1465866859"
"when can i give kittens away","95","96","40","80.40","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kittens-and-Mom","0.00","0.00","0.00","2480000","0.43,1.00,1.00,0.71,0.71,0.71,0.43,0.43,0.14,0.14,0.14,0.14","1469879845"
"urinary health cat food","93","92","390","74.03","2.99","http://www.whiskas.com/CatsCorner/Article/Urinary-Tract-Diseases-FLUTD","0.00","0.00","1.00","162000","0.67,0.67,0.35,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00,1.00","1468490846"
"exercising cat","63","66","30","85.38","0.00","http://www.whiskas.com/CatsCorner/Article/Cats-Need-Exercise-Too","0.00","0.00","0.53","1480000","0.44,0.33,0.22,0.22,0.33,0.33,0.33,0.22,0.33,0.22,1.00,0.44","1470324227"
"dog and cat lovers","90","0","10","88.09","0.00","http://www.whiskas.com/CatsCorner/Article/Cat-Lovers-Live-Longer","0.00","0.00","0.09","4760000","0.50,0.50,0.50,1.00,1.00,0.50,0.50,1.00,1.00,1.00,0.50,0.50","1468024405"
"how to train your kitten to use the litter box","82","90","70","71.53","1.86","http://www.whiskas.com/CatsCorner/Article/House-Training-Your-Cat","0.00","0.00","0.38","169000","0.05,0.10,0.52,1.00,0.52,0.81,0.52,0.24,0.19,0.10,0.10,0.24","1469514980"
"8 weeks kitten","98","0","40","78.68","0.00","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.01","785000","0.29,0.57,1.00,1.00,1.00,1.00,0.71,0.57,0.43,0.29,0.29,0.14","1469844371"
"about kittens care","34","35","10","78.11","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kittens-and-Mom","0.00","0.00","0.60","21400000","1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1457371794"
"why won t my cat eat","95","100","390","76.24","0.99","http://www.whiskas.com/CatsCorner/Article/Caring-After-Illness-or-Surgery","0.00","0.00","0.12","30500000","0.82,0.82,1.00,1.00,1.00,0.82,0.82,1.00,0.82,1.00,1.00,1.00","1468616714"
"small african wild cats","87","87","10","69.59","0.00","http://www.whiskas.com/CatsCorner/Article/The-Domestication-of-Cats","0.00","0.00","0.22","1720000","0.33,0.33,0.67,0.33,0.33,0.67,0.67,0.33,0.33,1.00,0.67,0.33","1467146615"
"sayings for loss of pet","75","0","50","66.22","1.02","http://www.whiskas.com/CatsCorner/Article/Saying-Goodbye","0.00","0.00","0.95","597000","0.44,0.44,0.33,0.56,0.56,0.56,0.56,0.78,0.56,0.78,0.78,1.00","1469675432"
"cat kidney","96","94","210","73.79","2.14","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kidney-Failure","0.00","0.00","0.57","21100000","0.53,0.81,1.00,0.44,0.44,0.53,0.44,0.44,0.66,0.81,0.66,0.53","1468981736"
"dry cat food for urinary tract health","71","65","40","72.64","4.67","http://www.whiskas.com/CatsCorner/Article/Urinary-Tract-Diseases-FLUTD","0.00","0.00","1.00","170000","0.43,0.57,0.57,0.71,1.00,0.71,0.57,0.43,0.57,0.57,0.57,0.71","1469760176"
"recovering from major surgery","96","0","10","75.30","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-After-Illness-or-Surgery","0.00","0.00","0.21","762000","0.33,1.00,0.67,0.33,1.00,0.33,0.33,0.33,0.33,0.33,0.33,0.33","1467630113"
"can kittens get pregnant","100","0","70","69.29","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.01","4670000","0.45,0.45,0.45,0.45,1.00,1.00,0.64,0.64,0.82,0.64,0.82,0.45","1469611792"
"vitamin k for cats","82","0","40","73.35","0.77","http://www.whiskas.com/CatsCorner/Article/Your-Cats-Diet-Vitamins","0.00","0.00","0.97","1700000","0.60,0.60,0.60,0.60,0.60,1.00,0.80,1.00,0.80,1.00,1.00,1.00","1469803280"
"evolution of domestic cats","67","0","50","84.16","0.00","http://www.whiskas.com/CatsCorner/Article/The-Domestication-of-Cats","0.00","0.00","0.07","975000","0.56,0.78,1.00,0.44,0.44,0.33,0.33,0.78,0.78,0.44,0.56,0.56","1469711486"
"feeding kittens milk","48","43","90","71.93","2.36","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kittens-and-Mom","0.00","0.00","0.43","503000","0.06,0.24,0.41,0.82,1.00,0.82,0.53,0.53,0.41,0.29,0.24,0.12","1467991093"
"diet for cats with renal failure","66","65","20","69.33","4.72","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kidney-Failure","0.00","0.00","1.00","468000","0.80,0.60,1.00,0.20,0.20,0.20,0.40,0.40,0.20,0.20,0.20,0.20","1470535469"
"cat modeling contest","86","87","20","72.82","0.00","http://www.whiskas.com/","0.00","0.00","0.65","630000","0.14,0.14,0.43,0.71,1.00,0.14,0.14,0.14,0.00,0.14,0.14,0.14","1466803800"
"kittens at 5 months","18","20","20","82.43","0.00","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.03","9370000","0.33,0.33,0.33,0.33,0.67,1.00,1.00,0.33,0.33,0.67,0.67,0.33","1470756288"
"signs a cat is pregnant","57","55","210","74.37","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.00","10500000","1.00,0.81,0.66,0.66,0.81,0.66,0.53,0.53,0.66,0.53,0.81,1.00","1469008412"
"causes for cat diarrhea","58","76","20","79.67","2.69","http://www.whiskas.com/CatsCorner/Article/Caring-for-Acute-Diarrhea","0.00","0.00","0.43","589000","0.67,0.67,0.67,0.67,0.67,0.33,0.67,0.33,1.00,1.00,1.00,0.67","1470591608"
"what can kittens eat","38","37","390","78.47","9.07","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.04","0.33","6940000","0.10,0.29,0.82,1.00,0.82,0.82,0.67,0.67,0.44,0.29,0.24,0.12","1468489588"
"gourmet cat food brands","56","72","20","79.65","2.65","http://www.whiskas.com/","0.00","0.00","0.90","3160000","0.25,0.25,0.25,0.25,0.50,0.25,0.50,0.25,0.50,1.00,0.50,0.75","1469188611"
"food for elderly cats","68","0","20","0.00","1.94","http://www.whiskas.com/CatsCorner/Article/Caring-for-Older-Cats","0.00","0.00","1.00","823000","0.33,0.67,1.00,0.67,0.67,0.67,0.67,0.33,0.67,0.67,1.00,0.67","1469188699"
"when can you wean kittens","16","15","50","81.14","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kittens-and-Mom","0.00","0.00","0.00","64000","0.45,0.45,0.09,0.09,0.09,0.09,0.18,0.64,1.00,0.64,0.64,0.82","1454759733"
"whiskas cat food recall","15","16","110","77.62","0.71","http://www.whiskas.com/","0.00","0.00","0.63","13000","0.54,1.00,0.54,0.65,0.65,0.19,0.27,0.19,0.19,0.19,0.27,0.35","1468003172"
"cat name","99","0","1000","73.02","0.55","http://www.whiskas.com/CatsCorner/Article/Choosing-Your-Cats-Name","0.00","0.00","0.24","41400000","0.68,0.68,0.77,1.00,1.00,1.00,0.77,1.00,0.77,0.77,0.77,0.68","1469302424"
"vitamin d for cats","75","0","40","72.80","1.65","http://www.whiskas.com/CatsCorner/Article/Your-Cats-Diet-Vitamins","0.00","0.00","0.90","1460000","0.80,0.40,0.60,0.80,1.00,0.40,0.60,1.00,0.80,0.80,0.80,0.80","1469783746"
"how to teach your cat to walk on a leash","89","0","40","82.93","0.00","http://www.whiskas.com/CatsCorner/Article/Training-Your-Cat","0.00","0.00","0.01","230000","0.71,0.57,1.00,0.71,1.00,0.71,0.57,0.43,0.14,0.29,0.43,0.43","1469903398"
"cats and chicken","74","97","10","72.96","0.00","http://www.whiskas.com/Products/Product/chicken","0.00","0.00","0.01","26700000","1.00,0.50,1.00,0.50,1.00,1.00,0.50,0.50,1.00,0.50,0.50,0.50","1467641018"
"cats during pregnancy","61","66","170","88.60","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.03","7340000","0.81,0.67,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81","1467622045"
"cat diarrhea food","37","21","10","76.99","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-for-Acute-Diarrhea","0.00","0.00","0.76","660000","1.00,0.50,0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50","1468512792"
"6 week kitten food","45","41","10","73.22","0.00","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","1.00","455000","0.25,0.25,1.00,1.00,0.50,0.50,0.25,0.25,0.25,0.25,0.25,0.25","1466776424"
"kittens hungry","38","48","10","77.84","0.00","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.04","609000","0.33,0.33,0.33,0.33,0.67,0.33,0.33,0.33,1.00,0.33,0.33,0.33","1467687869"
"cat female name","90","81","10","74.94","0.00","http://www.whiskas.com/CatsCorner/Article/whats-in-a-name","0.00","0.00","0.05","101000000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1467288541"
"cat has fleas","64","68","590","80.98","0.00","http://www.whiskas.com/CatsCorner/Article/Making-Fleas-Flee","0.00","0.00","0.06","3280000","0.32,0.32,0.32,0.59,0.88,0.88,1.00,1.00,0.88,0.72,0.48,0.32","1468492780"
"nunavut tenders","96","0","10","40.25","0.00","http://www.whiskas.com/Products/Product/chicken-juices","0.00","0.00","0.00","170000","0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,1.00,1.00,0.50","1466531570"
"training cats","72","69","720","86.76","1.84","http://www.whiskas.com/CatsCorner/Article/Training-Your-Cat","0.00","0.00","0.18","807000000","0.82,0.82,0.82,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.82","1469573574"
"cat food images","55","50","30","74.39","0.52","http://www.whiskas.com/","0.00","0.00","0.69","10900000","0.60,0.60,0.60,0.60,0.80,0.60,0.60,0.60,0.60,0.60,1.00,1.00","1469950554"
"renal failure in cats symptoms","83","75","70","72.23","3.29","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kidney-Failure","0.00","0.00","0.36","679000","0.64,0.64,0.45,0.27,0.82,0.64,0.64,0.64,0.82,0.82,1.00,0.64","1469502900"
"cat sense","18","32","260","0.00","0.45","http://www.whiskas.com/CatsCorner/Article/Your-Cats-Sense-of-Smell","0.00","0.00","0.62","184000000","1.00,0.54,0.82,0.82,0.54,0.67,0.54,0.54,0.67,0.67,0.67,0.67","1468616173"
"find out what breed your cat is","58","0","20","75.76","0.00","http://www.whiskas.com/CatsCorner/Article/Choosing-Your-Cat","0.00","0.00","0.08","1750000","1.00,0.67,0.67,1.00,0.67,0.67,1.00,0.67,0.33,0.33,0.33,0.33","1470819754"
"tabby cats images","60","0","20","90.01","0.00","http://www.whiskas.com/CatsCorner/Purrems","0.00","0.00","0.03","2990000","1.00,0.67,0.67,0.33,0.33,0.33,0.67,0.67,0.67,0.67,0.67,0.67","1470750216"
"how to harness train a cat","96","0","70","74.96","0.00","http://www.whiskas.com/CatsCorner/Article/Training-Your-Cat","0.00","0.00","0.01","484000","0.82,1.00,0.82,0.64,0.64,0.27,0.64,0.45,0.45,0.45,0.45,0.64","1469623325"
"wet food for kittens","52","60","260","78.01","8.96","http://www.whiskas.com/","0.00","0.00","1.00","905000","0.28,0.44,0.81,1.00,1.00,1.00,1.00,1.00,0.81,0.66,0.66,0.34","1468851930"
"all cat names","49","62","20","78.26","0.00","http://www.whiskas.com/CatsCorner/Article/Choosing-Your-Cats-Name","0.00","0.00","0.06","0","0.50,0.50,1.00,1.00,0.50,1.00,1.00,0.50,1.00,1.00,1.00,0.50","1466779682"
"felix cat food pouches","44","32","10","62.75","0.00","http://www.whiskas.com/Home/Faqs","0.00","0.00","0.00","239000","0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00","1467213131"
"how do you know when your cats pregnant","18","18","10","77.56","0.87","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.13","989000","1.00,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50","1466860195"
"cat cannot urinate","81","96","30","73.62","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kidney-Failure","0.00","0.00","0.06","292000","0.40,0.20,0.20,0.20,0.60,1.00,0.60,0.40,1.00,1.00,1.00,0.20","1470443474"
"do kittens sleep a lot","55","57","260","76.80","1.81","http://www.whiskas.com/CatsCorner/Article/Sleep","0.00","0.00","0.07","2710000","0.28,0.44,1.00,0.82,1.00,0.82,0.82,0.82,0.67,0.54,0.36,0.23","1468611553"
"table food for cats","52","0","50","81.34","0.00","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.24","2040000","0.33,0.33,0.44,0.56,0.78,1.00,0.44,0.44,0.56,0.78,0.78,0.56","1469720084"
"pregnat cat","86","0","50","78.54","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.00","58100000","0.78,1.00,0.33,0.56,0.56,0.56,0.44,0.33,0.78,0.44,0.44,0.78","1469705143"
"how often do cats eat","27","40","140","75.96","0.00","http://www.whiskas.com/CatsCorner/Article/Kittens-Eat-and-Eat-and-Eat","0.00","0.00","0.03","22400000","0.53,0.53,0.65,0.82,0.65,0.82,0.82,0.82,1.00,0.82,0.82,0.82","1467686361"
"choice pet supply","82","0","1300","87.20","1.22","http://www.whiskas.com/StoreLocator","0.00","0.00","0.08","8610000","1.00,0.62,0.81,0.81,1.00,1.00,0.81,0.81,0.81,0.81,0.81,0.62","1469462632"
"kitten cat names female","71","0","10","73.43","0.00","http://www.whiskas.com/CatsCorner/Article/Choosing-Your-Cats-Name","0.00","0.00","0.11","629000","0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00","1467138925"
"what are good names for cats","74","78","40","76.09","0.59","http://www.whiskas.com/CatsCorner/Article/Choosing-Your-Cats-Name","0.00","0.00","0.26","5570000","0.40,0.40,0.60,1.00,0.80,0.80,0.60,1.00,0.60,0.80,1.00,0.60","1469812177"
"how can u tell if your cat is pregnant","57","55","50","0.00","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.01","581000","1.00,1.00,0.71,1.00,0.71,0.57,0.29,0.29,0.57,0.57,0.57,0.71","1469735553"
"cat bladder crystals","71","76","90","74.03","1.50","http://www.whiskas.com/CatsCorner/Article/Caring-for-Struvite-Stones","0.00","0.00","0.31","354000","0.64,0.82,0.82,0.82,0.45,1.00,0.82,0.82,0.64,0.64,0.82,0.45","1467996357"
"when can a kitten be spayed","50","74","70","75.27","2.41","http://www.whiskas.com/CatsCorner/Article/Neutering-and-Spaying","0.00","0.00","0.16","5910000","0.18,0.41,1.00,0.41,0.18,0.53,0.82,0.41,0.18,0.12,0.18,0.24","1469503718"
"how to know the breed of your cat","54","54","10","80.17","1.68","http://www.whiskas.com/CatsCorner/Article/Choosing-Your-Cat","0.00","0.00","0.19","1690000","0.50,0.50,1.00,0.50,0.50,1.00,0.50,0.50,0.50,1.00,0.50,0.50","1466861667"
"top cat food brands","80","0","260","74.97","1.58","http://www.whiskas.com/","0.00","0.00","1.00","1800000","0.67,0.54,0.44,0.54,0.54,0.82,0.67,0.82,0.67,0.67,1.00,0.82","1468611978"
"how to know if cats are pregnant","25","29","10","78.87","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.00","18400000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00","1467275878"
"diarrhea in cats causes","90","92","20","79.69","3.17","http://www.whiskas.com/CatsCorner/Article/Caring-for-Acute-Diarrhea","0.00","0.00","0.56","492000","0.25,0.25,0.50,0.50,0.75,0.50,0.25,0.50,1.00,0.75,0.75,1.00","1469190933"
"when does a kitten become a cat","98","0","390","76.89","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kittens-and-Mom","0.00","0.00","0.02","911000","0.67,0.44,0.67,0.81,1.00,0.81,0.67,0.81,1.00,1.00,1.00,0.81","1468508362"
"kitten age stages","20","21","40","70.51","0.00","http://www.whiskas.com/CatsCorner/Article/Life-Stages-of-a-Cat","0.00","0.00","0.05","417000","0.06,0.12,0.18,0.18,0.41,1.00,0.29,0.29,0.12,0.12,0.12,0.06","1469875459"
"sign of kidney failure in cats","76","0","20","75.22","2.04","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kidney-Failure","0.00","0.00","0.15","1280000","0.50,0.50,0.50,1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,1.00","1470606978"
"beef in","76","81","20","84.88","0.00","http://www.whiskas.com/Products/Product/beef-in-gravy","0.00","0.00","0.03","204000000","0.67,0.33,0.33,0.33,0.33,0.67,0.67,1.00,0.67,0.33,0.33,0.67","1465587944"
"lactating cat","62","68","20","75.87","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kittens-and-Mom","0.00","0.00","0.00","715000","0.50,0.75,0.75,1.00,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25","1465466586"
"caring for young kittens","86","99","20","75.05","0.00","http://www.whiskas.com/CatsCorner/Article/Caring-for-Kitten-Orphans","0.00","0.00","0.09","1010000","0.25,0.50,1.00,0.75,0.50,0.75,0.50,0.75,0.25,0.25,0.25,0.25","1470797983"
"finicky cat food","26","28","30","80.45","2.11","http://www.whiskas.com/CatsCorner/Article/Feeding-Finicky-Cats","0.00","0.00","1.00","125000","0.60,0.60,0.20,0.80,1.00,0.80,1.00,0.60,0.40,0.80,0.60,1.00","1469032704"
"fish for cats","68","76","260","84.37","0.54","http://www.whiskas.com/Products/Product/sardine-mackerel","0.00","0.00","0.07","12600000","0.54,0.44,0.44,0.44,0.44,0.67,0.54,0.67,0.82,1.00,1.00,1.00","1468615685"
"toilet training kittens","33","65","20","73.63","0.58","http://www.whiskas.com/CatsCorner/Article/House-Training-Your-Cat","0.00","0.00","0.88","453000","0.25,0.25,0.50,0.50,0.75,0.75,0.75,0.50,1.00,0.50,0.25,0.50","1469202832"
"how can you tell your cats pregnant","18","0","10","0.00","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.00","0.00","0.13","2590000","0.33,0.33,0.33,1.00,0.33,0.67,0.33,0.33,0.33,0.33,0.33,0.33","1468455020"
