Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"whiskas cat food free samples","1","1","20","39.59","2.62","http://www.whiskas.com/","0.29","0.52","0.84","7000","1.00,1.00,0.33,1.00,0.33,0.67,0.67,0.33,0.33,0.33,0.67,0.33","1470594292"
"can cats tell if you are pregnant","4","4","140","80.16","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.29","0.00","0.01","815000","0.10,0.06,0.29,0.67,0.08,0.10,0.06,0.44,1.00,0.23,0.29,0.29","1467772962"
"cats and human pregnancy","2","3","70","81.02","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.29","0.00","0.01","916000","0.50,0.29,0.50,0.36,0.50,0.36,0.50,0.36,0.64,0.79,1.00,0.79","1469632850"
"whiskas pouches","2","0","70","74.15","1.54","http://www.whiskas.com/","0.29","0.30","1.00","254000","0.21,0.14,0.36,0.21,0.50,0.29,0.21,0.36,0.50,0.64,0.79,1.00","1469516951"
"whiscas","1","0","20","77.08","0.00","http://www.whiskas.com/Products","0.29","0.00","0.00","18000","1.00,0.67,1.00,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.33","1470820049"
"can cats tell when you re pregnant","4","4","110","0.00","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.22","0.00","0.01","2710000","0.18,1.00,0.28,0.10,0.05,0.18,0.82,0.54,0.13,0.23,0.10,0.05","1467896972"
"can cats tell if you re pregnant","4","4","110","78.98","0.00","http://www.whiskas.com/CatsCorner/Article/When-Cat-Owners-Get-Pregnant","0.22","0.00","0.00","2350000","0.05,0.10,0.08,0.36,0.10,0.18,0.10,0.18,0.05,0.23,1.00,0.67","1467906470"
"whiskas purrfectly chicken","3","3","70","76.72","1.03","http://www.whiskas.com/Products/Product/chicken","0.19","0.13","1.00","6000","0.82,0.27,0.45,0.82,0.82,0.64,0.64,0.45,0.45,0.82,1.00,0.45","1469522075"
"cat stages","3","3","70","68.34","0.00","http://www.whiskas.com/CatsCorner/Article/Life-Stages-of-a-Cat","0.19","0.00","0.05","65800000","0.56,0.56,0.56,0.56,1.00,1.00,1.00,0.78,1.00,0.56,0.78,0.44","1469618211"
"whiskas purrfectly fish","3","4","70","75.44","0.28","http://www.whiskas.com/Products/Product/sardine-mackerel","0.19","0.02","0.99","6000","0.29,0.24,0.29,1.00,0.53,0.29,0.41,0.41,0.29,0.12,0.29,0.29","1469536543"
"cat food calories","11","15","140","65.56","3.86","http://www.whiskas.com/Home/Faqs","0.19","0.54","0.35","1180000","0.82,0.65,0.82,0.82,0.82,0.82,0.82,0.82,0.65,0.65,1.00,0.65","1467627209"
"whiskas wet cat food","3","3","70","78.78","1.67","http://www.whiskas.com/Home/Faqs","0.19","0.21","0.99","145000","0.56,0.44,0.44,0.78,0.78,0.78,0.56,0.78,0.78,0.78,1.00,1.00","1469516432"
"whiskas cat","2","2","50","67.59","1.63","http://www.whiskas.com/Products","0.19","0.21","0.42","405000","0.33,0.44,0.44,0.44,0.56,0.33,0.33,0.56,0.78,1.00,0.78,0.56","1469669883"
"whiskas kitten food","2","2","40","67.99","4.01","http://www.whiskas.com/","0.16","0.43","1.00","96000","0.43,0.43,0.71,0.71,1.00,0.57,0.57,0.43,0.71,0.57,0.14,0.29","1469760805"
"cats whiskas","1","1","10","74.37","0.00","http://www.whiskas.com/","0.12","0.00","0.00","3920000","0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00","1467431023"
"kitten whiskas","1","1","10","70.20","0.00","http://www.whiskas.com/Products/Product/kitten","0.12","0.00","0.00","442000","0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00","1467688474"
"whiskas indoor","1","1","10","72.18","0.56","http://www.whiskas.com/Products/Product/indoor","0.12","0.04","1.00","247000","1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00","1466970829"
"whiskas complete","1","2","10","63.98","0.00","http://www.whiskas.com/Products/Product/kitten","0.12","0.00","0.00","383000","0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00","1457293768"
"whiskas kittens","1","1","10","70.81","0.00","http://www.whiskas.com/Products/Product/kitten","0.12","0.00","0.00","168000","1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00","1468399763"
"whiskas adult","1","0","10","0.00","0.00","http://www.whiskas.com/Products/Product/indoor","0.12","0.00","0.00","477000","0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00","1467932676"
"why do cats need","14","12","590","81.35","0.00","http://www.whiskas.com/CatsCorner/Article/Cats-Need-Exercise-Too","0.12","0.00","0.05","79100000","0.17,0.72,0.39,0.26,0.72,1.00,0.72,0.59,0.59,0.72,0.88,0.39","1469995372"
"whiskas wet food","1","1","10","69.57","1.36","http://www.whiskas.com/","0.12","0.13","1.00","144000","0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,1.00","1466971432"
"whiskas biscuits","1","1","10","68.87","0.00","http://www.whiskas.com/","0.12","0.00","0.18","210000","1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00","1468520407"
"whiskas tins","1","1","10","67.82","0.00","http://www.whiskas.com/","0.12","0.00","0.00","314000","0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00","1468023032"
"whiskas kitten","1","1","10","65.36","0.45","http://www.whiskas.com/Products/Product/kitten","0.12","0.04","0.55","442000","0.50,0.50,0.50,1.00,0.50,1.00,1.00,1.00,0.50,0.50,0.50,0.50","1466970828"
"whiskas free samples","1","2","10","43.71","0.00","http://www.whiskas.com/","0.12","0.00","0.00","11000","0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00","1468028095"
"cat whiskas","1","1","10","68.32","0.00","http://www.whiskas.com/","0.12","0.00","0.36","403000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00","1466804576"
"whisker cat food","1","1","10","74.15","0.00","http://www.whiskas.com/","0.12","0.00","0.91","152000","0.50,0.50,0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50","1467157660"
"whiskas dog food","1","1","10","74.73","1.70","http://www.whiskas.com/","0.12","0.15","0.61","372000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1466970833"
"wiskas cat","1","1","10","68.07","0.00","http://www.whiskas.com/","0.12","0.00","0.32","404000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1468116853"
"whiskas free sample","1","4","10","34.29","0.00","http://www.whiskas.com/","0.12","0.00","0.00","48000","1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00","1467854031"
